date,fri13_count,control_mean,control_n,ratio
2019-09-13,1110,1248.6666666666667,3,0.8889482114255205
2019-12-13,1343,1263.3333333333333,3,1.0630606860158311
2020-03-13,960,937.0,3,1.024546424759872
2020-11-13,1178,1052.3333333333333,3,1.1194171681976561
2021-08-13,713,946.0,3,0.7536997885835095
2022-05-13,1022,905.3333333333334,3,1.1288659793814433
2023-01-13,1022,851.6666666666666,3,1.2
2023-10-13,1081,1075.3333333333333,3,1.005269683818971
2024-09-13,977,895.6666666666666,3,1.09080759211016
2024-12-13,863,733.3333333333334,3,1.1768181818181818
